store,sku,pn,url,price,seller
Walmart,33846065,F3D80AA,http://www.walmart.com/ip/HP-Pavilion-500-c60-Tower-1-x-A-series-A6-5200-2-GHz-RAM-8-GB-HDD-1-TB-DVD-SuperMulti-Radeon-HD-8400-WLA/33846065,358.96,Walmart.com
Walmart,36290555,E3U19UT,http://www.walmart.com/ip/HP-ProDesk-400-G1-E3T19UT-Microtower-Desktop-PC-with-Intel-Pentium-G3420-Dual-Core-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-7-Professional/36290555,573.27,Beach Audio Inc
Walmart,27344591,D3J36UT,http://www.walmart.com/ip/HP-Z420-Convertible-Mini-Tower-Workstation-1-x-Intel-Xeon-3.6GHz/27344591,1777.41,Walmart.com
Walmart,21907353,WA939SLC,http://www.walmart.com/ip/iBUYPOWER-Black-Gamer-Extreme-WA939SLC-Desktop-PC-with-Intel-Quad-Core-i7-4770-Processor-16GB-Memory-2TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Inc/21907353,1098.89,Not Listed
Walmart,26464578,8.49E+11,http://www.walmart.com/ip/iBUYPOWER-Gamer-Power-WA557APU-Desktop-PC-with-AMD-A10-6800K-Richland-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/26464578,535.5,Not Listed
Walmart,21907356,WA928B,http://www.walmart.com/ip/iBUYPOWER-Black-Gamer-Power-WA928B-Desktop-PC-with-Intel-Dual-Core-i3-3220-Processor-8GB-Memory-2TB-Hard-Drive-and-Windows-8-Operating-System-Monit/21907356,598,Not Listed
Walmart,29861018,WA930K,http://www.walmart.com/ip/iBUYPOWER-Gamer-WA930K-Desktop-PC-with-Intel-Core-i7-4930K-Quad-Core-Processor-16GB-Memory-120GB-SSD-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-I/29861018,1649,Not Listed
Walmart,29861021,WA960X,http://www.walmart.com/ip/iBUYPOWER-Gamer-WA960X-Desktop-PC-with-Intel-Core-i7-4960X-6-Core-Processor-16GB-Memory-120GB-SSD-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Incl/29861021,2199,Not Listed
Walmart,23745944,WA326B,http://www.walmart.com/ip/iBUYPOWER-Black-Revolt-WA326B-Desktop-PC-with-Intel-Quad-Core-i5-3570-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8-Operating-System-Monitor-No/23745944,999,Not Listed
Walmart,37239054,57327041,http://www.walmart.com/ip/Lenovo-Black-C260-All-in-One-Desktop-PC-with-Intel-Pentium-J2900-Processor-4GB-Memory-19.5-Touchscreen-Monitor-500GB-Hard-Drive-and-Windows-8.1/37239054,459.27,Not Listed
Walmart,37239059,57327454,http://www.walmart.com/ip/Lenovo-Black-H500-Desktop-PC-with-Intel-Pentium-J2900-Processor-4GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/37239059,249,Walmart.com
Walmart,37389009,57317328,http://www.walmart.com/ip/Lenovo-Black-H535-Desktop-PC-with-AMD-A10-6700-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/37389009,455.83,Not Listed
Walmart,38435767,57327897,http://www.walmart.com/ip/Lenovo-Black-B750-All-in-One-Desktop-PC-with-Intel-Core-i5-4460-Processor-6GB-Memory-29-Monitor-1TB-Hard-Drive-and-Windows-8.1/38435767,1247.41,Not Listed
Walmart,34480205,57323540,http://www.walmart.com/ip/Lenovo-Black-Flex-20-All-in-One-Desktop-PC-with-Intel-Core-i3-4010U-Processor-4GB-Memory-19.5-Monitor-500GB-Hard-Drive-and-Windows-8.1/34480205,899,Walmart.com
Walmart,38762471,57327877,http://www.walmart.com/ip/Lenovo-Idea-H530-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Included/38762471,637.31,Not Listed
Walmart,37814309,57323864,http://www.walmart.com/ip/Lenovo-IdeaCentre-Q190-Ultra-Small-Form-Factor-Desktop-PC-with-Intel-Celeron-1017U-Processor-4GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not/37814309,339.99,Not Listed
Walmart,34299453,10AU002PUS,http://www.walmart.com/ip/Lenovo-Black-ThinkCentre-Edge73-Desktop-PC-with-Intel-Core-i3-4130-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-7-Professional-Monitor-Not-Inc/34299453,423.99,Walmart.com
Walmart,32427612,10AY001RUS,http://www.walmart.com/ip/Lenovo-ThinkCentre-M73-Tiny-Form-Factor-Desktop-PC-with-Intel-Core-i3-4130T-Dual-Core-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-7-Profession/32427612,na,Beach Audio Inc
Walmart,37671438,10AY001WUS,http://www.walmart.com/ip/Lenovo-ThinkCentre-M73-10AY-Tiny-desktop-1-x-Core-i3-4130T-2.9-GHz-RAM-4-GB-HDD-500-GB-HD-Graphics-4400-Gi/37671438,584.99,TigerDirect
Walmart,32427608,10B00005US,http://www.walmart.com/ip/Lenovo-ThinkCentre-M73-Mini-Tower-Desktop-PC-with-Intel-i5-4570-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-7-Professional-Monitor-Not-Includ/32427608,669.84,Walmart.com
